title,vote_average,vote_count,runtime,budget,popularity,imdb_rating,imdb_votes,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Outros,Romance,Science Fiction,Thriller,War,Western,20th Century Fox,Columbia Pictures,Goldwyn,Mayer,Metro,Paramount Pictures,RKO Radio Pictures,Universal Pictures,Walt Disney Productions,Warner Bros. Pictures,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros,cluster,pca_0,pca_1,pca_2
Boogie Woogie,5.0,4.5217885770490405,94.0,15.607270193858982,7.191,5.1,4277.0,2009,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4330031315236312,22.608942885245202,5.660171653903675,35.955,2.809840562969964,1.7087018253879918,False,True,False,False,False,4,-0.601742227706908,1.158562853046861,1.7303570899519551
Fat Head,6.724,3.6635616461296463,104.0,11.918397239722838,2.006,7.0,2128.0,2009,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15528242109104226,24.633788508575744,8.05053429385264,13.488344,2.558652438006258,1.5397794579522743,False,True,False,False,False,5,-1.71453081257692,-1.5149235017792337,0.9070697933368816
True Lies,7.079,8.354203562921775,141.0,18.560442695023177,6.0028,7.3,292649.0,1994,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3068846699224916,59.13940702192324,7.208425811133357,42.4938212,2.9735092970204526,2.2358258211923867,False,True,False,False,False,3,4.684593594672743,-0.7351921726843441,-0.48180225640867885
Life-Size,6.4,6.049733455231958,85.0,15.76142084987672,1.6764,5.6,9475.0,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10001538741939826,38.71829411348453,5.071169130666221,10.72896,2.819079867706262,1.952989808340929,False,True,False,False,False,2,-0.875175612913912,0.7365337091222073,-0.5900652870965939
Dr. Jekyll and Ms. Hyde,4.7,3.8918202981106265,90.0,15.894952224644102,6.473,4.5,3096.0,1995,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38313218729071347,18.291555401119947,5.327034892038346,30.4231,2.8270148923814977,1.5875644833216505,False,True,False,False,False,4,-0.9930629276790245,1.100683268302993,1.2832091663819793
Martial Arts of Shaolin,6.4,4.3694478524670215,94.0,16.118095750958314,0.9219,6.4,2723.0,1986,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053855289362334,27.96446625578894,5.49126499626792,5.9001600000000005,2.840136135027038,1.6807250824647135,False,False,True,False,False,2,-1.4689716576318272,-0.04803554178844155,-0.6641967858574733
True Legend,6.6,5.43372200355424,115.0,16.811242881518265,3.7162,6.4,9385.0,2010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2086434969597823,35.862565223457985,6.456596025610829,24.52692,2.879829880465673,1.8615532204780585,False,False,True,False,False,5,-0.5092225388442402,0.4578377504514849,0.5421789955590851
Letters to Juliet,7.0,7.976938756959434,105.0,17.216707972959764,2.8761,6.5,110205.0,2010,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15788253312668685,55.83857129871604,5.763939354786731,20.1327,2.9023391934519456,2.194658928534441,False,True,False,False,False,0,1.4151526352336878,0.5471451493301522,-0.790649686011358
Mother and Child,6.6,5.0238805208462765,125.0,15.76142084987672,1.2368,7.2,13101.0,2009,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0737884938918586,33.15761143758542,7.457601662744442,8.16288,2.819079867706262,1.795731656444039,False,True,False,False,False,5,-0.9597276297780297,-0.7284501399080084,-0.3038648554938979
Falling Down,7.391,8.239593454305968,113.0,17.034386422832473,8.5642,7.6,217555.0,1993,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4748816954014735,60.89883522077541,6.265807848995412,63.2980022,2.8922802923091946,2.2234978862338974,False,True,False,False,False,3,4.129873080404339,-0.44308836185289124,1.1973351113861606
Only Old Men Are Going to Battle,7.939,4.74493212836325,92.0,12.505254590249747,2.4011,8.2,6143.0,1973,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.17779005822915017,37.67001616707584,6.812163323927289,19.0623329,2.6030788386218515,1.748318097194945,False,False,False,True,False,1,-1.1122182451899811,-2.3218018864733034,0.6985593818648462
Impulse,5.6,3.6635616461296463,109.0,16.012735246411598,1.1394,5.8,1597.0,1990,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.06697335751700052,20.515945218326017,6.406965042437298,6.38064,2.8339621957386507,1.5397794579522743,False,True,False,False,False,2,-1.7088560271723985,-0.13412515311617612,-0.46754398241370226
