genres,original_language,popularity,production_companies,release_date,budget,runtime,vote_average
Horror-Action,en,9.763,Copperheart Entertainment-Entertainment One-Dark Hero Studios,2014-08-28,18000000.0,90.0,5.9
Action-Fantasy-Horror,en,9.761,HJB Filmproduktion,2008-09-01,4600000.0,88.0,3.8
Drama,la,9.76,Megalovision-Cinegate-Disctac,1976-12-17,45000.0,86.0,6.8
Action-Science Fiction-Thriller,en,9.759,ITC Entertainment-HBO-Spectacor Films-Frederick S. Pierce Company,1991-05-10,6000000.0,101.0,5.7
Science Fiction-Adventure,ru,9.758,Telekanal STS-Art Pictures Studio-Non-Stop Productions-Premiere Stealth Rights,2008-12-18,36500000.0,115.0,5.4
Comedy-Horror-Thriller-Mystery-Fantasy,en,9.756,Metro-Goldwyn-Mayer-Silver Sphere Corporation,2002-06-09,1000000.0,92.0,6.6
Adventure-Fantasy-Action,en,9.753,Capitol Films-The Kushner-Locke Company-CTV International-Threshold Entertainment-Dimension Films-European Motion Pictures Productions Ltd,1999-04-01,20000000.0,95.0,4.3
Action-Comedy-Drama,te,9.753,Geetha Arts-Haarika & Hassine Creations-Goldmines Telefilms,2020-01-12,14000000.0,165.0,6.9
Drama,en,9.753,Wild Bunch-Pretty Dangerous Films-Departure Entertainment-Departure Studios-Artist Film-Above All Things Inc-Muse Productions-Metro Tartan Distribution Ltd.-Minerva Picture Company Ltd.-Snowfall Films-BlueLight,2004-09-15,74050.0,98.0,5.9
Crime-Drama-Mystery-Thriller,en,9.752,Paramount,1942-04-24,512423.0,81.0,6.976
Adventure-Comedy-Romance,en,9.752,Loew's Incorporated-Metro-Goldwyn-Mayer,1952-05-08,3005000.0,115.0,7.1
Comedy-Music,en,9.751,Paramount-Hal Wallis Productions,1961-11-22,2000000.0,102.0,6.0
