title,popularity,budget,runtime,vote_average,vote_count,release_year,release_month,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Outros,Romance,Science Fiction,Thriller,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros
Scary Stories to Tell in the Dark,39.938,17.034386422832473,108.0,6.5,7.848543482456679,2019,8,0,0,0,0,0,0,0,1,0,0,0,0,1,2.2145472024175112,51.01553263596841,5.9885597140841105,259.59700000000004,2.8922802923091946,2.180252867221869,False,True,False,False,False
Night of the Comet,39.914,14.914123179965662,95.0,6.2,5.820082930352362,1984,11,0,0,1,0,0,0,0,1,0,0,0,1,0,2.5080866566527433,36.08451416818464,5.969540321240934,247.4668,2.767206965277634,1.919871631657153,False,True,False,False,False
Jigsaw,39.863,16.118095750958314,92.0,6.211,8.055157731819678,2017,10,0,0,0,1,0,0,0,1,1,0,0,0,1,2.328705282406682,50.030584672332026,5.374429570815411,247.58909300000002,2.840136135027038,2.2033345104900874,False,True,False,False,False
Legally Blonde,39.862,16.705882371415992,96.0,6.7,8.132412674500905,2001,7,0,0,1,0,0,0,0,0,0,0,1,0,0,2.251342190341916,54.487164919156065,5.421926904641612,267.0754,2.8738969217360877,2.211829917583101,False,True,False,False,False
The Longest Yard,39.836,18.22222981742365,113.0,6.596,7.9617188159813645,2005,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2.072392244727579,52.51549731021308,5.878610393970691,262.758256,2.956067412287567,2.1929620407301837,False,True,False,False,False
The Goonies,39.733,16.759949589762293,114.0,7.514,8.519789817263504,1985,6,0,1,1,0,0,1,0,0,0,0,0,0,0,2.237224818639353,64.01770068691798,6.418937138521789,298.553762,2.8769458991457104,2.2533727705410116,False,True,False,False,False
Focus,39.731,17.729531586015174,105.0,6.9,8.85893722196655,2015,2,0,0,1,1,1,0,0,0,0,0,1,0,0,2.1213023837534757,61.126666831569196,5.6061199137729965,274.14390000000003,2.930101507388077,2.288378375986319,False,True,False,False,False
Snow White and the Huntsman,39.683,18.951309000896888,127.0,5.985,8.938662873666118,2012,5,0,1,0,0,1,0,1,0,0,0,0,0,0,1.9889923011174904,53.49789729889172,6.365497120729816,237.502755,2.9932947552634075,2.2964324918679897,False,True,False,False,False
Predestination,39.661,15.520258832020865,97.0,7.4,8.631235907456897,2014,8,0,0,0,0,0,0,0,0,0,0,0,1,1,2.4007493104845268,63.871145715181044,5.871578707470792,293.4914,2.8045874357679663,2.2650115568750326,False,True,False,False,False
Cirque du Freak: The Vampire's Assistant,39.639,17.50439003707821,109.0,5.771,6.86171134048073,2009,10,1,1,0,0,0,0,1,0,0,0,0,0,1,2.142140320246886,39.598936145914294,5.890494081760654,228.75666900000002,2.918008003234778,2.062004310538389,False,True,False,False,False
The Mask of Zorro,39.62,18.36938746009113,136.0,6.5,8.17103418920548,1998,7,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0454957639539932,53.11172222983562,7.021388790957674,257.53,2.9636938537950384,2.2160500595390524,False,True,False,False,False
Revolutionary Road,39.62,17.370858648025116,119.0,6.97,8.146998697389993,2008,12,0,0,0,0,1,0,0,0,0,0,1,0,0,2.156676547302223,56.784580920808246,6.477650407091484,276.15139999999997,2.910765639997766,2.2134258142657766,False,True,False,False,False
War of the Worlds,39.555,18.6983124881264,117.0,6.5,8.901638932300326,2005,6,0,1,0,0,0,0,0,0,0,0,0,1,1,2.0080400300199654,57.86065305995212,5.939595083107975,257.1075,2.9805329715736746,2.292700292156072,False,True,False,False,False
Crawl,39.53,16.41820031748273,88.0,6.3,7.973155433444133,2019,7,1,0,0,0,0,0,0,1,0,0,0,0,1,2.2694652305912197,50.23087923069804,5.052186701037879,249.039,2.8575156548062495,2.1942373905156214,False,True,False,False,False
Highlander,39.465,16.588099342704055,116.0,6.9,7.78155595923534,1986,3,1,1,0,0,0,0,1,0,0,0,0,0,0,2.2438467756535037,53.69273611872385,6.595368705835713,272.30850000000004,2.8672224996255626,2.1726536082598895,False,True,False,False,False
